cmp,Appointments,Reinstatements,GrossActiveStaffCount,NroReps,AwardSalesAmount,DiscountAmount,GrossUnits,ShortUnits
20170304,"12,918","16,527","227,556","872,447","50,283,265,072.94","7,807,489,035.74","4,449,308","36,346"
20170305,"18,939","16,671","231,176","879,008","52,336,759,519.56","8,087,829,271.06","4,462,922","19,930"
20170306,"12,657","15,938","233,990","881,745","52,632,055,847.14","9,212,740,089.26","4,587,111","34,298"
20170307,"20,943","16,799","242,157","889,237","59,701,643,440.83","9,376,583,422.24","4,762,278","47,818"
20170308,"18,380","13,276","236,121","894,924","52,250,701,482.97","7,266,201,590.09","4,419,320","47,142"
20170309,"11,538","17,699","237,799","895,489","55,684,435,029.66","8,779,003,710.97","4,303,913","52,770"
20170310,"19,376","14,608","240,710","907,629","52,805,931,839.28","8,235,721,281.52","4,551,439","73,999"
20170311,"14,463","17,800","245,894","910,493","58,366,971,099.97","9,748,571,840.82","5,073,463","92,890"
20170312,"20,663","13,295","244,600","916,984","54,037,956,105.76","8,504,201,853.22","4,368,469","27,455"
20170313,"12,926","17,007","235,605","918,667","53,377,226,102.61","7,797,282,439.26","4,448,142","26,496"
20170314,"17,897","16,290","239,579","923,267","52,389,973,282.81","8,262,038,957.36","4,516,295","29,391"
20170315,"6,748","6,893","132,430","918,594","27,140,728,791.23","4,360,807,488.55","2,329,842","19,824"
